PART NO,VENDOR CODE,VENDOR,GENDER,STYLE,ITEM,SIZE,COLOR,DESCRIPTION,QTY $,DLR $,RTL $,IMAGE NAME A,IMAGE NAME B,IMAGE NAME C,UPC CODE,AL - QTY,MA - QTY,NV - QTY,TOTAL QTY,LBS,KGM,STATUS,ORIGIN
0104-1905-03,,,UNI,HELMET,X-14 BRINK TC-5,Xsm,Tc5,X14 BRINK TC5 XSM,855.99,855.99,855.99,0104-1905-03_41.jpg,0104-1905-03_41.jpg,0104-1905-03_41.jpg,4512048525804    ,2,2,2,2,0,0,A,
0104-1905-04,,,UNI,HELMET,X-14 BRINK TC-5,sml,Tc5,X14 BRINK TC5 SML,850.99,850.99,850.99,0104-1905-03_42.jpg,0104-1905-03_42.jpg,0104-1905-03_42.jpg,4512048525811    ,8,8,8,8,0,0,A,
0104-1201-03,,,UNI,HELMET,X-14 MARQUEZ 4 TC-1-4512048507411,XSM,,X14 MARQUEZ 4 TC1 XSM,880.99,880.99,880.99,0104-1201-03_20.jpg,0104-1201-03_20.jpg,0104-1201-03_20.jpg,4512048507411    ,0,2,0,2,0,0,A,
999-001,CAL,Book,UNI,Media,Triumph Restoration Book,,," A complete start-to-finish assembly and restoration sequences on two Triumph Twins, a 1963 Bonneville and a 1969 Bonniville. Also included is the start-to-finish assembly of the 1969 engine and transmission. Rather than try to describe the miniscule differences that often separated one year from another, this book offers a color gallery with left and right side views of all significant models from 1959 to 1983. With over 450 color photos, How To Restore Your Triumph offers 144 pages of hard-core how-to help for anyone who wants to repair or restore their own",19.99,20.99,29.99,,,,653000000000    ,0,10,0,10,1.05,0.48,A,
999-002,CAL,Book,UNI,Media,Triumph Motorcycles Book,,," Triumph Motorcycles, is a new, all color, hardcover book focused entirely on Triumph twins and triples. Starting with Edward Turner s best-known design, the Speed-Twin, the book moves to the T100, TR5, Thunderbird, TR6, Bonneville and all the rest. Using a large format and deluxe paper, this anthology of classic triumphs covers all the significant models produced from 1938 to the early 1980s.",19.99,20.99,29.99,,,,65276332193    ,10,10,0,10,2.2,1.01,A,
999-008,CAL,Book,UNI,Media,Ultimate Triumph Collection Book,,," Ultimate Triumph Collection presents nearly 80 perfect Triumphs, from early singles to a perfect Speed Twin; from an iconic 1953 Blackbird to a pair of 1970 Bonnevilles, all belonging to one man and all of them are for sale! Chapter one describes the builder, Bobby Sullivan, the man with the vision and drive to continue building bikes long after his initial goals were met. Chapter two introduces the team that builds the bikes, and explains the process of finding and restoring individual machines. Chapter three documents the bikes themselves with studio images of the left and right side of each machine. Chapter four offers photos and anecdotes on the exceptional examples from the Sullivan collection.Illustrated with abundant images by well-known photographer Timothy Remus, and printed on high quality seventy-pound paper, this ten-by-ten hardcover book is one that any motorcycle enthusiast will want to add to his or her collection.",29.99,29.99,49.95,,,,9780000000000    ,0,10,0,10,2.3,1.06,A,
202-100,CAR,Cardo Systems,Uni,Accessories,SMRT0002 SMART H Single,"Fits: RPHA-11 Pro, RPHA-11, RPHA-70 ST (except XS), RPHA ST, RPHA-MAX, IS-MAX II, FG-17, IS-17, CL-17 (U.S. Only), CS-R3, FG-JET, IS-33, IS-33 II",Black," Riding in a group can be the ultimate thrill for many riders, but those who do it regularly know that it can also be a challenging experience at times. Pairing within the group is time consuming and the traditional Bluetooth daisy chain connection can often be disrupted. With Cardo's Dynamic Mesh Communication technology (DMC) this is a thing of the past!With the DMC technology on board, full 4 way intercom conversations are seamless and the group remains constantly connected at an astounding range of up to 2.25 miles / 3.6 km. Speak as freely and easily as if you were no more than a few feet. To further enjoy your riding experience, listen to your favorite music from an MP3 player, talk with friends over the phone, or keep updated with helpful GPS instructions. Everything will sound crystal clear with the new 1.5 in / 40 mm thin HD speakers which can also easily be substituted with a pair of your choice. With safety in mind, operate the SMARTH virtually hands-free with voice commands. Additional great features include sharing an FM radio station with another rider, connecting with friends using non-cardo headsets and much more. On the go configuration and control of this device has been made easier than ever thanks to the Cardo SmartSet App and thesoftware updates availa",194.99,203.99,299.95,202-100.jpg,202-100b.jpg,202-100c.jpg,829000000000    ,10,10,10,10,1.95,0.9,A,Ukraine
011-601,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,XS,Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",155.99,163.79,259.99,011-601.jpg,,,272465    ,0,2,2,4,5.53,2.54,A,Vietnam
011-602,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,SM,Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",155.99,163.79,259.99,011-601.jpg,,,272471    ,10,10,5,10,5.53,2.54,A,Vietnam
011-603,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,MD,Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",155.99,163.79,259.99,011-601.jpg,,,272477    ,10,10,10,10,5.58,2.57,A,Vietnam
