Part Number,Alt Part#,Description,Dealer,Retail,West,East,Status,MAPP Y/N,MAPP Price,Weight,Length,Width,Depth,Long Description,Brand,Photo,UPC,Catalog Page,Size,Color,Model,Origin,Alt Photos,Category,Class,TTL Qty,Feature Text File
01-202,1202,CJ-1 SHIELD LIGHT SMOKE,28.5,47.99,8,4,OK,Y,47.99,6,9.6,7,6,CJ1 SHIELD LIGHT SMOKE  ,SHOEI,01-202.jpg,4512048057053    ,77, ,LIGHT SMOKE,CJ-1 SHIELD,US,,SHIELDS,SHOEI,12, 
01-204,1204,CJ-1 SHIELD DARK SMOKE,28.5,47.99,5,2,OK,Y,47.99,6,9.5,7,6.2,CJ1 SHIELD DARK SMOKE  ,SHOEI,01-204.jpg,4512048057077    ,77, ,DARK SMOKE,CJ-1 SHIELD,US,,SHIELDS,SHOEI,7, 
01-208,1208,RJ-PLAT10MD CENTERPAD LG13,18.7,31.2,4,3,OK,Y,31.2,3.2,4,4,1,RJPLAT10MD CENTERPAD LG13  ,SHOEI,,4512048318628    ,80, ,,RJ-PLAT10MD CENTERPAD LG13,JP,,SHOEI,MISC,7, 
01-209,1209,RJ-PLAT10LG CENTERPAD XL13,18.7,31.2,1,7,OK,Y,31.2,2.8,10,9,1,RJPLAT10LG CENTERPAD XL13  ,SHOEI,,4512048318635    ,80, ,,RJ-PLAT10LG CENTERPAD XL13,JP,,SHOEI,MISC,8, 
01-210,1210,RJ-PLAT10XXL CENTERPAD XXL9,18.7,31.2,6,2,OK,Y,31.2,2.5,10,7,3,RJPLAT10XXL CENTERPAD XXL9  ,SHOEI,,4512048318642    ,80,,,RJ-PLAT10XXL CENTERPAD XXL9,JP,,SHOEI,MISC,8, 
01-211,1211,RJ-PLAT/JWING CNTRPADXS13 2S,18.7,31.2,2,4,OK,Y,31.2,2.3,10,8,2,RJPLAT JWING CNTRPADXS13 2S,SHOEI,01-211.jpg,4512048057565    ,77,2S,,RJ-PLAT/JWING CNTRPADXS13,JP,,SHOEI,MISC,6, 
01-212,1212,RJ-PLAT/JWING CNTRPAD XS9 XS,18.7,31.2,1,0,OK,Y,31.2,2,10,9,2,RJPLAT JWING CNTRPAD XS9 XS,SHOEI,,4512048057572    ,77,XS,,RJ-PLAT/JWING CNTRPAD XS9,JP,,SHOEI,MISC,1, 
01-213,1213,RJ-PLAT/JWING CNTRPAD M13 SM,18.7,31.2,3,4,OK,Y,31.2,2.3,10,8,2.5,RJPLAT JWING CNTRPAD M13 SM,SHOEI,,4512048057589    ,77,SM,,RJ-PLAT/JWING CNTRPAD M13,JP,,SHOEI,MISC,7, 
01-214,1214,RJ-PLAT/JWING CNTRPAD M9 MD,18.7,31.2,5,4,OK,Y,31.2,2.4,10,8,2,RJPLAT JWING CNTRPAD M9 MD,SHOEI,,4512048057329    ,77,MD,,RJ-PLAT/JWING CNTRPAD M9,JP,,SHOEI,MISC,9, 
01-215,1215,RJ-PLAT/JWING CNTRPAD L9 LG,18.7,31.2,12,12,OK,Y,31.2,2.2,10,9,2,RJPLAT JWING CNTRPAD L9 LG,SHOEI,,4512048057336    ,77,LG,,RJ-PLAT/JWING CNTRPAD L9,JP,,SHOEI,MISC,26, 
01-216,1216,RJ-PLAT/JWING CNTRPAD XL9 XL,18.7,31.2,12,10,OK,Y,31.2,2.4,10,9.5,3,RJPLAT JWING CNTRPAD XL9 XL,SHOEI,,4512048057343    ,77,XL,,RJ-PLAT/JWING CNTRPAD XL9,JP,,SHOEI,MISC,23, 
01-217,1217,RJ-PLAT/JWING CNTRPAD XL5 2L,18.7,31.2,2,2,OK,Y,31.2,2.2,10,10,2,RJPLAT JWING CNTRPAD XL5 2L,SHOEI,,4512048057350    ,77,2L,,RJ-PLAT/JWING CNTRPAD XL5,JP,,SHOEI,MISC,4, 
01-218,1218,JWING/MULTEC/RJPL-R CHKPD 31,19.2,32,12,9,OK,Y,32,1.4,6,6,1,JWING MULTEC/RJPLR CHKPD 31,SHOEI,01-218.jpg,4512048057367    ,50,31,,JWING/MULTEC/RJPL-R CHKPD,JP,,SHOEI,MISC,22, 
01-219,1219,JWING/MULTEC/RJPL-R CHKPD 33,19.2,32,7,6,OK,Y,32,1.4,6.5,6,1,JWING MULTEC/RJPLR CHKPD 33,SHOEI,01-218.jpg,4512048057374    ,50,33,,JWING/MULTEC/RJPL-R CHKPD,JP,,SHOEI,MISC,13, 
01-220,1220,JWING/MULTEC/RJPL-R CHKPD 35,19.2,32,6,7,OK,Y,32,1.5,9,5,2,JWING MULTEC/RJPLR CHKPD 35,SHOEI,01-218.jpg,4512048216139    ,50,35,,JWING/MULTEC/RJPL-R CHKPD,JP,,SHOEI,MISC,13, 
01-221,1221,JWING/MULTEC/RJPL-R CHKPD 37,19.2,32,9,12,OK,Y,32,1.5,6.5,5,2,JWING MULTEC/RJPLR CHKPD 37,SHOEI,01-218.jpg,4512048216146    ,50,37,,JWING/MULTEC/RJPL-R CHKPD,JP,,SHOEI,MISC,21, 
01-223,1223,JWING/MULTEC/RJPL-R CHKPD 41,19.2,32,3,8,OK,Y,32,1.6,6,5,2,JWING MULTEC/RJPLR CHKPD 41,SHOEI,01-218.jpg,4512048216160    ,50,41,,JWING/MULTEC/RJPL-R CHKPD,JP,,SHOEI,MISC,11, 
01-250,1250,MULTITEC FULL SET BASE PLATE,5.9,9.9,12,12,OK,Y,9.9,1.3,4.5,3.5,0.5,MULTITEC FULL SET BASE PLATE  ,SHOEI,,4512048235000    ,79,MULTITEC FULL SET BASE PLATE,,MULTITEC FULL SET BASE PLATE,JP,,SHOEI,MISC,26, 
01-254,1254,MULTITEC FACE COVER BASE SET,3.9,6.5,2,1,OK,Y,6.5,1.3,7,5,0.7,MULTITEC FACE COVER BASE SET  ,SHOEI,01-254.jpg,4512048234997    ,79,MULTITEC FACE COVER BASE SET,,MULTITEC FACE COVER BASE SET,JP,,SHOEI,MISC,3, 
01-255,1255,MULTITEC FACE COVER SCREW,3.7,6.2,2,1,OK,Y,6.2,0.4,4.5,2.7,0.5,MULTITEC FACE COVER SCREW  ,SHOEI,01-255.jpg,4512048234980    ,79, ,,MULTITEC FACE COVER SCREW,JP,,SHOEI,MISC,3, 
01-256,1256,MULTITEC SCREW COVER,3,5,2,2,OK,Y,5,0.3,3.2,2,0.5,MULTITEC SCREW COVER  ,SHOEI,01-256.jpg,4512048234973    ,79, ,,MULTITEC SCREW COVER,JP,,SHOEI,MISC,4, 
